Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"108619.80","Salmonella enterica subsp. enterica serovar Newport strain BCW_2745",,108619,"131567;2;1224;1236;91347;543;590;28901;59201;108619","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Newport","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","BCW_2745",,,,"MLST.Salmonella_enterica.46",,,,,,,,,,,,,,,,"Good","2017-03-22T00:00:00Z",,,"PRJNA203445","SAMN02368622","GCA_002064305.1",,"MYAT00000000",,"WGS",,,,,,522,4803687,52.12,85,16621,65,3,,5265,99.6,91.4,9.8,100,,"chicken",,"2009",2009,,"Mauritius","Africa","Mauritius",,"Chicken, Gallus gallus","Chicken",,,,"Avian",,,,,,"2017-05-28T02:55:54.418Z","2017-05-28T02:55:54.418Z"
"1151180.10","Salmonella enterica subsp. enterica serovar Glostrup CFSAN059901",,1151180,"131567;2;1224;1236;91347;543;590;28901;59201;1151180","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Glostrup","Bacteria",,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","CFSAN059901","Glostrup",,,,,,,,,,,,,,,,,,,"Good","2017-10-10T00:00:00Z",,,"PRJNA186035","SAMN07163937",,,"NPLQ00000000",,,"Illumina NextSeq","45x","SPAdes v. 3.8.1",,,33,4739515,52.085835,4,463992,77,8,,4872,99.8,99,,100,,"cattle stool",,"2011",2011,,"Nigeria","Africa","Nigeria",,"Bos taurus","Cow",,,,"Nonhuman Mammal",,,,"collected_by:University of Ibadan","cntn_cf_publicComments","2022-12-26T03:02:15.973Z","2022-12-26T03:02:15.973Z"
"1160769.18","Salmonella enterica subsp. enterica serovar Worthington strain CFSAN070331",,1160769,"131567;2;1224;1236;91347;543;590;28901;59201;1160769","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Worthington","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","CFSAN070331","Worthington",,,"MLST.Salmonella_enterica.5156",,,,,,,,,,,,,,,,"Good","2018-12-06T00:00:00Z",,,"PRJNA186035","SAMN07774653","GCA_003876555.1",,"RSWX00000000","Center for Food Safety and Applied Nutrition","WGS","ILLUMINA","23x","SKESA v. 2.2",,,197,5110164,52.065334,31,54862,42,1,,5519,99.9,97.6,,,,"Stool (Bos Taurus)",,"2012",2012,,"Nigeria","Africa","Nigeria",,,,,,,,,,,"collected_by:University of Ibadan","Currently encompasses whole genome sequencing of cultured pathogens as part of a surveillance project for the rapid detection of outbreaks of foodborne illnesses","2019-01-30T13:51:38.782Z","2019-01-30T13:51:38.782Z"
"1173564.3","Salmonella enterica subsp. enterica serovar Bonariensis strain BCW_2647",,1173564,"131567;2;1224;1236;91347;543;590;28901;59201;1173564","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Bonariensis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","BCW_2647",,,,"MLST.Salmonella_enterica.473",,,,,,,,,,,,,,,,"Good","2017-03-22T00:00:00Z",,,"PRJNA203445","SAMN02368535","GCA_002066145.1",,"MYDX00000000",,"WGS",,,,,,71,4711716,52.12,11,114673,71,4,,4730,99.6,99,0.6,100,,"Rodent faeces",,"2011",2011,,"Nigeria","Africa","Nigeria",,,,,,,,,,,,,"2017-05-28T03:27:21.599Z","2017-05-28T03:27:21.599Z"
"1194156.3","Salmonella enterica subsp. enterica serovar Havana str. CFSAN001082",,1194156,"131567;2;1224;1236;91347;543;590;28901;59201;179997;1194156","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Havana;Salmonella enterica subsp. enterica serovar Havana str. CFSAN001082","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","CFSAN001082","serovar Havana",,,"MLST.Salmonella_enterica.578",,,,,,,,,,,,," ",,,"Good","2013-10-28T00:00:00Z","24158624",,"PRJNA167393","SAMN01816347","GCA_000487735.1","SRR958010,SRR958011","APAH00000000","FDA","WGS","Illumina v1 chemistry","27x","Ray v. 2.0.0",,,480,4620389,52.5,66,20502,79,27,,4436,99.3,98.7,,98.6,,"bone meal",,"1972",1972,,"Egypt","Africa","Egypt",,,,,,,,,,,,"Genome sequencing project","2014-12-08T22:12:50.056Z","2015-03-16T03:17:09.594Z"
"1243604.3","Salmonella enterica subsp. salamae serovar 56:z10:e,n,x str. 1369-73",,1243604,"131567;2;1224;1236;91347;543;590;28901;59202;1243603;1243604","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. salamae;Salmonella enterica subsp. salamae serovar 56;Salmonella enterica subsp. salamae serovar 56","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","1369-73","56:z10:e,n,x",,,"MLST.Salmonella_enterica.2403",,,,,,,,,,,,,,,,"Good","2015-11-27T00:00:00Z",,,"PRJNA177610","SAMN03470772","GCF_001448865.1","SRR1981948,SRR2125448","LHTH00000000","Laboratory for Foodborne Zoonoses","WGS","454; Illumina MiSeq","159.74x","MIRA v. 3.9.18",,,28,4796858,52.03,5,308871,79,9,,4768,99.7,98.5,0.9,100,,,,"1973",1973,,"South Africa","Africa","South Africa",,"Reptilia",,,,,,,,,"collected_by:Institut Pasteur, Paris, France","Genome sequence of Salmonella salamae (serogroup O56; 56:z10:enx)","2016-01-30T04:38:27.941Z","2016-01-30T04:38:27.941Z"
"1265674.3","Salmonella enterica subsp. enterica serovar Agona str. 72.A.52",,1265674,"131567;2;1224;1236;91347;543;590;28901;59201;58095;1265674","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Agona;Salmonella enterica subsp. enterica serovar Agona str. 72.A.52","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","72.A.52","serovar Agona",,,"MLST.Salmonella_enterica.1215",,,,,,,,,,,,,,,,"Good","2013-02-15T00:00:00Z",,,"PRJNA202251","SAMEA2272091","GCA_000389555.1",,"CARC00000000","ERI","WGS",,,,,,203,4703884,52.1,13,121863,62,6,,4678,99.2,98.4,0.3,100,,"Animal (cattle)","first isolated in 1952","1952",1952,,"Ghana","Africa","Ghana",,,,,,,,,,,,"Salmonella enterica serovar Agona has caused multiple food-borne outbreaks of gastroenteritis since it was first isolated in 1952. We compared the genomic contents of 73 isolates from global sources, including five distinct outbreaks and sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic pan-genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most of these indels did not affect cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.","2014-12-08T22:12:48.080Z","2015-03-16T03:17:09.594Z"
"134047.11","Salmonella enterica subsp. enterica serovar Bredeney strain BCW_2794",,134047,"131567;2;1224;1236;91347;543;590;28901;59201;134047","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Bredeney","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","BCW_2794",,,,"MLST.Salmonella_enterica.306",,,,,,,,,,,,,,,,"Good","2017-03-22T00:00:00Z",,,"PRJNA203445","SAMN02368666","GCA_002063755.1",,"MXZE00000000",,"WGS",,,,,,66,4656858,52.14,11,140457,70,4,,4727,99.6,98.7,1.2,100,,"chicken",,"2009",2009,,"Nigeria","Africa","Nigeria",,"Chicken, Gallus gallus","Chicken",,,,"Avian",,,,,,"2017-05-28T02:32:47.555Z","2017-05-28T02:32:47.555Z"
"1386015.4","Salmonella enterica subsp. enterica serovar Isangi IFS025",,1386015,"131567;2;1224;1236;91347;543;590;28901;59201;1386015","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Isangi","Bacteria",,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","IFS025","Isangi",,,"MLST.Salmonella_enterica.216",,,,,,,,,,,,,,,,"Good","2023-03-22T00:00:00Z",,,"PRJNA941491","SAMN33607991",,,"JARKIQ000000000",,,"Illumina","100.0x","SPAdes v. 3.15.1",,,125,4955531,51.984108,7,200793,77,3,,5082,99.7,98.4,,100,,,,"2021-01-01",2021,,"Nigeria","Africa","Nigeria: Vom",,"Avian","Avian",,,"Salmonella gastroenteritis","Avian",,,,"collected_by:Nancy Milton Sati",,"2023-04-21T00:13:02.588Z","2023-04-21T00:13:02.588Z"
"149385.40","Salmonella enterica subsp. enterica serovar Hadar strain BCW_2690",,149385,"131567;2;1224;1236;91347;543;590;28901;59201;149385","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Hadar","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","BCW_2690",,,,"MLST.Salmonella_enterica.473",,,,,,,,,,,,,,,,"Good","2017-03-22T00:00:00Z",,,"PRJNA203445","SAMN02368568","GCA_002065635.1",,"MYCS00000000",,"WGS",,,,,,53,4649581,52.22,9,159196,69,5,,4622,99.8,99.2,,100,,"Spinach",,"2009",2009,,"Nigeria","Africa","Nigeria",,,,,,,,,,,,,"2017-05-28T03:15:40.576Z","2017-05-28T03:15:40.576Z"
